C1	15.24	12.70	0.00	10uF	1206
C2	6.35	16.51	90.00	10uF	1206
D2	15.24	10.16	180.00	MBR120	SOD-123FL
D4	8.89	12.70	0.00		LED-1206
Q2	8.89	7.49	270.00	PZT3904	SOT223
R1	10.16	20.32	180.00	100k	1206
R2	8.89	16.51	90.00	5.1k	1206
R3	11.43	16.51	90.00	5.1k	1206
R4	15.24	20.32	180.00	100k	1206
R5	15.24	15.24	180.00	2.2k	1206
R6	15.24	17.78	180.00	 	1206
U3	15.24	6.35	270.00	MCP73831T-2ACI/OT	SOT23-5
